 run_10003	2019 06 25 22 24 51	2019 06 25 22 25 53
 run_10004	2019 06 25 22 26 27	2019 06 25 22 31 30
 run_10005	2019 06 25 22 38 57	2019 06 25 22 40 41
 run_10006	2019 06 25 22 43 13	2019 06 25 22 48 16
 run_10007	2019 06 26 16 12 52	2019 06 26 16 13 55
 run_10009	2019 06 26 16 27 03	2019 06 26 16 32 05
 run_10010	2019 06 26 16 37 29	2019 06 26 16 38 32
 run_10011	2019 06 26 16 40 23	2019 06 26 16 45 26
 run_10012	2019 06 26 17 29 27	2019 06 26 17 34 30
 run_10013	2019 06 26 18 01 22	2019 06 26 18 06 24
 run_10017	2019 06 26 20 01 07	2019 06 26 20 06 09
 run_10018	2019 06 26 20 08 41	2019 06 26 20 13 44
 run_10019	2019 06 26 20 25 08	2019 06 26 20 30 11
 run_10020	2019 06 26 20 47 39	2019 06 26 20 52 41
 run_10021	2019 06 26 21 01 51	2019 06 26 21 31 54
 run_10022	2019 06 26 22 50 12	2019 06 26 22 55 15
 run_10023	2019 06 26 23 07 09	2019 06 26 23 12 12
 run_10024	2019 06 26 23 18 22	2019 06 26 23 23 25
 run_10025	2019 06 26 23 26 21	2019 06 26 23 31 23
 run_10026	2019 06 26 23 33 55	2019 06 26 23 38 58
 run_10027	2019 06 26 23 41 54	2019 06 26 23 46 56
 run_10028	2019 06 26 23 49 57	2019 06 26 23 54 59
 run_10029	2019 06 26 23 57 32	2019 06 27 00 02 34
 run_10030	2019 06 27 00 05 27	2019 06 27 00 10 30
 run_10031	2019 06 27 00 13 53	2019 06 27 00 18 56
 run_10032	2019 06 27 00 22 27	2019 06 27 00 27 29
 run_10033	2019 06 27 13 48 58	2019 06 27 13 54 02
 run_10039	2019 06 27 15 02 35	2019 06 27 15 09 49
 run_10040	2019 06 27 15 19 37	2019 06 27 15 24 40
 run_10041	2019 06 27 18 45 10	2019 06 27 18 50 13
 run_10042	2019 06 27 18 57 04	2019 06 27 19 02 07
 run_10043	2019 06 27 19 37 21	2019 06 27 19 42 24
 run_10044	2019 06 27 19 47 23	2019 06 27 19 52 26
 run_10045	2019 06 27 20 00 34	2019 06 27 20 05 37
 run_20002	2019 06 28 15 45 00	2019 06 28 15 50 03
 run_20003	2019 06 28 16 23 27	2019 06 28 16 30 40
 run_20004	2019 06 28 16 36 29	2019 06 28 16 51 32
 run_20005	2019 06 28 16 53 39	2019 06 28 17 08 42
 run_20006	2019 06 28 18 30 14	2019 06 28 18 45 17
 run_20011	2019 06 28 19 53 40	2019 06 28 20 03 46
 run_20012	2019 06 28 20 04 21	2019 06 28 20 14 27
 run_20013	2019 06 28 20 15 03	2019 06 28 20 25 09
 run_20014	2019 06 28 20 25 46	2019 06 28 20 35 52
 run_20015	2019 06 28 20 36 26	2019 06 28 20 46 33
 run_20016	2019 06 29 10 48 24	2019 06 29 11 18 36
 run_20017	2019 06 29 11 20 03	2019 06 29 11 50 15
 run_20018	2019 06 29 11 51 41	2019 06 29 12 21 53
 run_20019	2019 06 29 12 23 24	2019 06 29 12 53 36
 run_20020	2019 06 29 12 55 14	2019 06 29 13 25 26
 run_20021	2019 06 29 13 26 56	2019 06 29 13 27 10
 run_20022	2019 06 29 15 45 40	2019 06 29 16 15 52
 run_20023	2019 06 29 16 23 18	2019 06 29 16 53 30
 run_20024	2019 06 29 17 17 55	2019 06 29 17 48 10
 run_20025	2019 06 29 17 59 15	2019 06 29 18 29 27
 run_20026	2019 06 29 17 58 14	2019 06 29 17 58 30
 run_20027	2019 06 29 18 38 22	2019 06 29 18 54 17
 run_20028	2019 06 29 18 58 17	2019 06 29 19 08 23
 run_20029	2019 06 30 07 38 50	2019 06 30 08 09 02
 run_20030	2019 06 30 08 10 28	2019 06 30 08 40 40
