 run_42004	2019 07 03 17 36 30	2019 07 03 18 06 41
 run_42005	2019 07 03 18 09 16	2019 07 03 18 39 27
 run_42006	2019 07 03 18 42 02	2019 07 03 19 12 14
 run_42007	2019 07 03 19 25 59	2019 07 03 19 56 10
 run_42008	2019 07 03 19 58 09	2019 07 03 20 28 20
 run_42009	2019 07 03 20 30 18	2019 07 03 21 00 29
 run_42010	2019 07 03 21 02 33	2019 07 03 21 32 45
 run_42011	2019 07 03 21 34 47	2019 07 03 22 04 59
 run_42012	2019 07 03 22 07 00	2019 07 03 22 37 13
 run_42013	2019 07 03 22 39 18	2019 07 03 23 09 30
 run_42014	2019 07 03 23 18 05	2019 07 03 23 48 17
 run_42015	2019 07 03 23 49 22	2019 07 04 00 19 34
 run_42016	2019 07 04 00 20 37	2019 07 04 00 50 49
 run_42017	2019 07 04 00 51 52	2019 07 04 01 22 03
 run_42018	2019 07 04 01 23 06	2019 07 04 01 53 17
 run_42019	2019 07 04 01 54 20	2019 07 04 02 24 32
 run_42020	2019 07 04 02 25 36	2019 07 04 02 55 47
 run_42021	2019 07 04 02 56 50	2019 07 04 03 27 01
 run_42022	2019 07 04 03 28 04	2019 07 04 03 58 16
 run_42023	2019 07 04 03 59 17	2019 07 04 04 29 29
 run_42024	2019 07 04 04 30 30	2019 07 04 05 00 41
 run_42025	2019 07 04 05 01 46	2019 07 04 05 31 58
 run_42026	2019 07 04 05 32 59	2019 07 04 06 03 10
 run_42027	2019 07 04 06 04 11	2019 07 04 06 34 23
 run_42028	2019 07 04 06 35 25	2019 07 04 07 05 37
 run_42029	2019 07 04 07 06 38	2019 07 04 07 36 49
 run_42030	2019 07 04 07 37 56	2019 07 04 08 08 07
 run_42032	2019 07 04 08 40 30	2019 07 04 09 10 42
 run_42033	2019 07 04 09 11 47	2019 07 04 09 41 58
 run_42036	2019 07 04 10 54 52	2019 07 04 11 25 07
 run_42037	2019 07 04 11 25 29	2019 07 04 11 55 44
 run_42039	2019 07 04 12 26 40	2019 07 04 12 56 58
 run_42040	2019 07 04 12 57 20	2019 07 04 12 57 45
 run_42041	2019 07 04 13 14 28	2019 07 04 13 44 41
 run_42042	2019 07 04 13 44 46	2019 07 04 14 14 59
 run_42044	2019 07 04 14 45 22	2019 07 04 15 15 35
 run_42045	2019 07 04 15 15 40	2019 07 04 15 45 52
 run_42046	2019 07 04 15 55 25	2019 07 04 16 25 37
 run_42047	2019 07 04 16 25 42	2019 07 04 16 55 54
 run_42048	2019 07 04 16 56 00	2019 07 04 17 26 12
 run_42049	2019 07 04 17 26 18	2019 07 04 17 56 30
 run_42050	2019 07 05 00 09 19	2019 07 05 00 39 31
 run_42051	2019 07 05 00 39 37	2019 07 05 01 09 48
 run_42052	2019 07 05 01 09 54	2019 07 05 01 40 06
 run_42053	2019 07 05 01 40 11	2019 07 05 02 10 23
 run_42054	2019 07 05 02 10 29	2019 07 05 02 40 41
 run_42055	2019 07 05 02 40 47	2019 07 05 03 10 59
 run_42056	2019 07 05 03 11 04	2019 07 05 03 41 16
 run_42057	2019 07 05 03 41 22	2019 07 05 04 11 34
 run_42058	2019 07 05 04 11 39	2019 07 05 04 41 52
 run_42059	2019 07 05 04 41 57	2019 07 05 05 12 09
 run_42060	2019 07 05 05 12 14	2019 07 05 05 42 26
 run_42061	2019 07 05 05 42 32	2019 07 05 06 12 44
 run_42062	2019 07 05 06 12 50	2019 07 05 06 43 02
 run_42063	2019 07 05 06 43 07	2019 07 05 07 13 19
 run_42064	2019 07 05 07 13 25	2019 07 05 07 43 37
 run_42065	2019 07 05 07 43 43	2019 07 05 08 13 54
 run_42066	2019 07 05 08 14 00	2019 07 05 08 44 12
 run_42067	2019 07 05 08 44 18	2019 07 05 09 14 30
 run_42068	2019 07 05 09 14 36	2019 07 05 09 44 48
 run_42069	2019 07 05 09 44 54	2019 07 05 10 15 06
 run_42072	2019 07 05 11 59 33	2019 07 05 12 29 45
 run_42074	2019 07 05 12 48 29	2019 07 05 12 58 39
 run_42075	2019 07 05 13 06 09	2019 07 05 13 36 20
 run_42076	2019 07 05 13 36 56	2019 07 05 13 57 08
